# To download these audio excerpts use the following script: 
# python src/script_tools/yt_downloader.py -i <PATH_TO_THIS_FILE> -o <OUTPUT_DIR>
#
# Description:
#   @cut X, Y       -> need to manually cut the first X seconds off from the beginning and Y seconds from end of the video.
#                   Will be parsed and automated in the future, but for now leave it commented out and use this instead:
#                   ffmpeg -i {input_path} -ss {start} -to {end} {output_path}
#
#   [train/cel] -> directory for storing downloaded wav files (will be automatically created)
#
# Line format:
#   <link> <optional_name_for_downloaded_file>




##################
# 1. Cello - train
##################

# around 1h44m
[train/cel]
https://www.youtube.com/watch?v=yw6kT7jvlx0 badass_riffs_7m

# @cut 1.5s, 18s
https://www.youtube.com/watch?v=CpiCgPV5MJo 10_classic_funky_riffs_2m

# @cut 4.5s, 18s
https://www.youtube.com/watch?v=IQEBeGEUCXA rhcp_riff_medley_4m

# @cut 10s, 12s
https://www.youtube.com/watch?v=IaiJCMcF61o 10_indie_santos_4m

# @cut 7.5s, 12s
https://www.youtube.com/watch?v=qXT1NetbfGc 20_riffs_all_the_time_santos_comment_req_6m

# @cut 7.5s, 9s
https://www.youtube.com/watch?v=2905olNvEM0 20_riffs_all_the_time_santos_7m

# @cut 13.5s, 9s
https://www.youtube.com/watch?v=a3QJiMTa130 ten_songs_one_string_santos_4m




##########################
# 4. Electric guitar - val
##########################

# around 33m
[val/gel]
https://www.youtube.com/watch?v=MKtOcEouaWE part1_100_riffs_greatest_rocknroll_9m
https://www.youtube.com/watch?v=IulqIFJMdgY part2_100_riffs_greatest_rocknroll_7m

# @cut 6s
https://www.youtube.com/watch?v=hRezta6mdFI despacito_bieber_4m

# @cut 20s, 6s
https://www.youtube.com/watch?v=Yjarkl3VWPE linkin_park_numb_3m

# @cut 16s, 10m
https://www.youtube.com/watch?v=QPQVvT87efk mettalica_guitar_solos_10m_of_19m




##########################
# 5. Church organs - train
##########################

# around 2h3m
[train/org]
# @cut 25.5s, 9s
https://www.youtube.com/watch?v=AgDMxs4aHZU bach_1h

# @cut 9s, 15s
https://www.youtube.com/watch?v=magnG5fJDIA pirates_6m

# @cut 6s
https://www.youtube.com/watch?v=ho9rZjlsyYY toccata_fugue_9m

# @cut 16.5s 
https://www.youtube.com/watch?v=uIosf0OzhNw phantom_opera_5m

# @cut 6s
https://www.youtube.com/watch?v=m_HdrywerGE mormon_christmas_2m

# @cut 6s, 3s
https://www.youtube.com/watch?v=0hF33RlhSl8 church_4m

# @cut 10.5s, 4.5s
https://www.youtube.com/watch?v=NNbXIzQRt6k cao_thu_organ_disco_5m

# @cut 3s, 9s
https://www.youtube.com/watch?v=i119LgMDIXI two_steps_from_hell_2m

# @cut 15s, 16.5s
https://www.youtube.com/watch?v=ey_8VSD7fgc arrival_queen_sheba_4m

# @cut 10.5s, 9s
https://www.youtube.com/watch?v=Q9lzGVyD6So abba_knowing_4m

# @cut 10.5s, 7.5s
https://www.youtube.com/watch?v=GGEF_rsIwAk abba_lay_all_your_love_4m

# @cut 10.5s, 9s
https://www.youtube.com/watch?v=yyAJfcbyYxE abba_thank_you_4m

# @cut 30s
https://www.youtube.com/watch?v=Wd6qZS1_1aU bohemian_rhapsody_6m

# @cut 10.5s, 60s
https://www.youtube.com/watch?v=c9-R4N5zng0 pomp_and_circum_gert_8m



########################
# 5. Church organs - val
########################

# around 28m
[val/org]
# @cut 13.5s, 6s
https://www.youtube.com/watch?v=D-_qS_3KXBA pirates_4m

# @cut 24s, 25.5s
https://www.youtube.com/watch?v=ZEgXDlc2dHc hallelujah_4m

# @cut 4.5s, 6s
https://www.youtube.com/watch?v=8FH4dx42HrI british_anthem_2m

# @cut 12s, 4.5s
https://www.youtube.com/watch?v=4x9QIt_fqQE valkyries_5m

# @cut 10s 
https://www.youtube.com/watch?v=jSgV_ikxVh8 abba_super_trouper_4m

# @cut 30s, 6s
https://www.youtube.com/watch?v=I8unH4U1K7g abba_gimme_3m

# @cut 22.5s, 12s
https://www.youtube.com/watch?v=4oAbqFhYZps peter_aumndsen_toccata_6m




###################
# 6. Violin - train
###################

# around 2h
[train/vio]
https://www.youtube.com/watch?v=5Jj5AWPF3m4 top10_violin_solo_11m

# @cut 1.5s, 6s
https://www.youtube.com/watch?v=i2mTmi9tUag paganini_1h_25m

# @cut 4.5s
https://www.youtube.com/watch?v=6KaYzgofHjc bach_partita_33m




#################
# 6. Violin - val
#################

# around 35m
[val/vio]
# @cut 3s, 20s
https://www.youtube.com/watch?v=0jXXWBt5URw paganini_caprice_sumina_studer_2m

# @cut 10s, 10s
https://www.youtube.com/watch?v=FTUWCr3IXxw sonata_g_minor_bach_bartje_14m

# @cut -, 6s
https://www.youtube.com/watch?v=gqOHNP-RThU jealousy_tango_katica_3m

# weird...
https://www.youtube.com/watch?v=COTgXNeKKE8 vigilia_tango_3m

# @cut 6s, 40s
https://www.youtube.com/watch?v=mfT5AvkH1nc alexander_labko_tango_5m

# @cut 6s, 40s
https://www.youtube.com/watch?v=XahhzJU18os fiddle_solo_mark_oconnor_8m

